[START] 'DTD LIVE Table_0858.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0858_mp4_2025-06-27T03:27:35.745Z)
Time: 113.00s | Score: 221.88 | Status: 선명
Time: 113.50s | Score: 233.21 | Status: 선명
Time: 114.00s | Score: 234.57 | Status: 선명
Time: 114.50s | Score: 185.86 | Status: 선명
Time: 115.00s | Score: 188.44 | Status: 선명
Time: 115.50s | Score: 235.78 | Status: 선명
Time: 116.00s | Score: 273.20 | Status: 선명
Time: 116.50s | Score: 278.99 | Status: 선명
Time: 117.00s | Score: 260.03 | Status: 선명
Time: 117.50s | Score: 95.43 | Status: 선명
Time: 118.00s | Score: 155.10 | Status: 선명
Time: 118.50s | Status: 얼굴 미검출
Time: 119.00s | Score: 227.78 | Status: 선명
Time: 119.50s | Score: 198.86 | Status: 선명
Time: 120.00s | Score: 137.32 | Status: 선명
Time: 120.50s | Score: 185.18 | Status: 선명
Time: 121.00s | Score: 203.46 | Status: 선명
Time: 121.50s | Score: 294.89 | Status: 선명
Time: 122.00s | Score: 298.03 | Status: 선명
Time: 122.50s | Score: 294.97 | Status: 선명
Time: 123.00s | Score: 296.38 | Status: 선명
Time: 123.50s | Score: 302.96 | Status: 선명
Time: 124.00s | Score: 296.52 | Status: 선명
Time: 124.50s | Score: 301.40 | Status: 선명
Time: 125.00s | Score: 308.74 | Status: 선명
Time: 125.50s | Score: 311.54 | Status: 선명
Time: 126.00s | Score: 309.89 | Status: 선명
Time: 126.50s | Score: 302.95 | Status: 선명
Time: 127.00s | Score: 310.28 | Status: 선명
Time: 127.50s | Score: 305.10 | Status: 선명
Time: 128.00s | Score: 309.33 | Status: 선명
Time: 128.50s | Score: 302.67 | Status: 선명
Time: 129.00s | Score: 308.03 | Status: 선명
Time: 129.50s | Score: 300.12 | Status: 선명
Time: 130.00s | Score: 296.54 | Status: 선명
Time: 130.50s | Score: 299.09 | Status: 선명
Time: 131.00s | Score: 301.48 | Status: 선명
Time: 131.50s | Score: 306.74 | Status: 선명
Time: 132.00s | Score: 302.27 | Status: 선명
Time: 132.50s | Score: 307.96 | Status: 선명
Time: 133.00s | Score: 294.06 | Status: 선명
Time: 133.50s | Score: 300.17 | Status: 선명
Time: 134.00s | Score: 300.78 | Status: 선명
Time: 134.50s | Score: 304.40 | Status: 선명
Time: 135.00s | Score: 300.61 | Status: 선명
Time: 135.50s | Score: 307.70 | Status: 선명
Time: 136.00s | Score: 298.17 | Status: 선명
Time: 136.50s | Score: 295.74 | Status: 선명
Time: 137.00s | Score: 297.59 | Status: 선명
Time: 137.50s | Score: 302.50 | Status: 선명
Time: 138.00s | Score: 306.01 | Status: 선명
Time: 138.50s | Score: 268.24 | Status: 선명
Time: 139.00s | Score: 175.85 | Status: 선명
Time: 139.50s | Score: 136.71 | Status: 선명
Time: 140.00s | Score: 136.06 | Status: 선명
Time: 140.50s | Score: 132.36 | Status: 선명
Time: 141.00s | Score: 95.76 | Status: 선명
Time: 141.50s | Score: 125.92 | Status: 선명
Time: 142.00s | Score: 137.20 | Status: 선명
Time: 142.50s | Score: 136.93 | Status: 선명
Time: 143.00s | Score: 135.26 | Status: 선명
Time: 143.50s | Score: 136.94 | Status: 선명
Time: 144.00s | Score: 137.32 | Status: 선명
Time: 144.50s | Score: 140.32 | Status: 선명
Time: 145.00s | Score: 132.63 | Status: 선명
Time: 145.50s | Score: 132.99 | Status: 선명
Time: 146.00s | Score: 141.54 | Status: 선명
Time: 146.50s | Score: 179.36 | Status: 선명
Time: 147.00s | Score: 239.80 | Status: 선명
Time: 147.50s | Score: 148.33 | Status: 선명
Time: 148.00s | Score: 144.92 | Status: 선명
Time: 148.50s | Score: 142.94 | Status: 선명
Time: 149.00s | Score: 152.30 | Status: 선명
Time: 149.50s | Score: 211.93 | Status: 선명
Time: 150.00s | Score: 235.32 | Status: 선명
Time: 150.50s | Score: 233.24 | Status: 선명
Time: 151.00s | Score: 232.41 | Status: 선명
Time: 151.50s | Score: 235.23 | Status: 선명
Time: 152.00s | Score: 245.90 | Status: 선명
Time: 152.50s | Score: 235.59 | Status: 선명
Time: 153.00s | Score: 250.26 | Status: 선명
Time: 153.50s | Score: 251.76 | Status: 선명
Time: 154.00s | Score: 266.37 | Status: 선명
Time: 154.50s | Score: 246.57 | Status: 선명
Time: 155.00s | Score: 292.30 | Status: 선명
Time: 155.50s | Score: 299.86 | Status: 선명
Time: 156.00s | Score: 289.46 | Status: 선명
Time: 156.50s | Score: 290.89 | Status: 선명
Time: 157.00s | Score: 294.56 | Status: 선명
Time: 157.50s | Score: 294.14 | Status: 선명
Time: 158.00s | Score: 301.32 | Status: 선명
Time: 158.50s | Score: 345.07 | Status: 선명
Time: 159.00s | Score: 341.09 | Status: 선명
Time: 159.50s | Score: 342.15 | Status: 선명
Time: 160.00s | Score: 338.03 | Status: 선명
Time: 160.50s | Score: 342.40 | Status: 선명
Time: 161.00s | Score: 340.59 | Status: 선명
Time: 161.50s | Score: 338.53 | Status: 선명
Time: 162.00s | Score: 334.53 | Status: 선명
Time: 162.50s | Score: 348.68 | Status: 선명
Time: 163.00s | Score: 357.60 | Status: 선명
Time: 163.50s | Score: 367.55 | Status: 선명
Time: 164.00s | Score: 358.98 | Status: 선명
Time: 164.50s | Score: 356.91 | Status: 선명
Time: 165.00s | Score: 357.12 | Status: 선명
Time: 165.50s | Score: 350.96 | Status: 선명
Time: 166.00s | Score: 370.60 | Status: 선명
Time: 166.50s | Score: 368.61 | Status: 선명
Time: 167.00s | Score: 369.72 | Status: 선명
Time: 167.50s | Score: 369.53 | Status: 선명
Time: 168.00s | Score: 305.90 | Status: 선명
Time: 168.50s | Score: 286.38 | Status: 선명
Time: 169.00s | Score: 290.75 | Status: 선명
Time: 169.50s | Score: 345.87 | Status: 선명
Time: 170.00s | Score: 282.95 | Status: 선명
Time: 170.50s | Score: 11.34 | Status: 흐림
Time: 171.00s | Score: 11.77 | Status: 흐림
Time: 171.50s | Score: 11.50 | Status: 흐림
Time: 172.00s | Score: 168.28 | Status: 선명
Time: 172.50s | Score: 256.89 | Status: 선명
Time: 173.00s | Score: 185.26 | Status: 선명
Time: 173.50s | Score: 116.49 | Status: 선명
Time: 174.00s | Score: 155.85 | Status: 선명
Time: 174.50s | Score: 111.63 | Status: 선명
Time: 175.00s | Score: 105.21 | Status: 선명
Time: 175.50s | Score: 139.62 | Status: 선명
Time: 176.00s | Score: 118.00 | Status: 선명
Time: 176.50s | Score: 215.48 | Status: 선명
Time: 177.00s | Score: 154.32 | Status: 선명
Time: 177.50s | Score: 127.83 | Status: 선명
Time: 178.00s | Score: 15.81 | Status: 흐림
Time: 178.50s | Score: 143.82 | Status: 선명
Time: 179.00s | Score: 143.19 | Status: 선명
Time: 179.50s | Score: 162.80 | Status: 선명
Time: 180.00s | Score: 175.38 | Status: 선명
Time: 180.50s | Score: 68.88 | Status: 선명
Time: 181.00s | Score: 117.58 | Status: 선명
Time: 181.50s | Score: 110.50 | Status: 선명
Time: 182.00s | Score: 94.37 | Status: 선명
Time: 182.50s | Score: 110.53 | Status: 선명
Time: 183.00s | Score: 97.38 | Status: 선명
Time: 183.50s | Score: 112.63 | Status: 선명
Time: 184.00s | Score: 93.39 | Status: 선명
Time: 184.50s | Score: 81.51 | Status: 선명
Time: 185.00s | Score: 81.89 | Status: 선명
Time: 185.50s | Score: 62.16 | Status: 선명
Time: 186.00s | Score: 60.09 | Status: 선명
Time: 186.50s | Score: 78.60 | Status: 선명
Time: 187.00s | Score: 83.40 | Status: 선명
Time: 187.50s | Score: 84.85 | Status: 선명
Time: 188.00s | Score: 74.66 | Status: 선명
Time: 188.50s | Score: 84.23 | Status: 선명
Time: 189.00s | Score: 63.27 | Status: 선명
Time: 189.50s | Score: 93.33 | Status: 선명
Time: 190.00s | Score: 100.43 | Status: 선명
Time: 190.50s | Score: 76.70 | Status: 선명
Time: 191.00s | Score: 88.91 | Status: 선명
Time: 191.50s | Score: 90.19 | Status: 선명
Time: 192.00s | Score: 85.43 | Status: 선명
Time: 192.50s | Score: 74.37 | Status: 선명
Time: 193.00s | Score: 80.35 | Status: 선명
Time: 193.50s | Score: 82.29 | Status: 선명
Time: 194.00s | Score: 88.66 | Status: 선명
Time: 194.50s | Score: 83.61 | Status: 선명
Time: 195.00s | Score: 104.49 | Status: 선명
Time: 195.50s | Score: 113.59 | Status: 선명
Time: 196.00s | Score: 67.96 | Status: 선명
Time: 196.50s | Score: 86.25 | Status: 선명
Time: 197.00s | Score: 82.55 | Status: 선명
Time: 197.50s | Score: 85.92 | Status: 선명
Time: 198.00s | Score: 62.74 | Status: 선명
Time: 198.50s | Score: 217.08 | Status: 선명
Time: 199.00s | Score: 239.15 | Status: 선명
Time: 199.50s | Score: 82.36 | Status: 선명
Time: 200.00s | Score: 85.07 | Status: 선명
Time: 200.50s | Score: 88.98 | Status: 선명
Time: 201.00s | Score: 73.91 | Status: 선명
Time: 201.50s | Score: 77.70 | Status: 선명
Time: 202.00s | Score: 82.78 | Status: 선명
Time: 202.50s | Score: 174.66 | Status: 선명
Time: 203.00s | Score: 87.18 | Status: 선명
Time: 203.50s | Score: 84.59 | Status: 선명
Time: 204.00s | Score: 21.10 | Status: 흐림
Time: 204.50s | Status: 얼굴 미검출
Time: 205.00s | Status: 얼굴 미검출
Time: 205.50s | Status: 얼굴 미검출
Time: 206.00s | Status: 얼굴 미검출
Time: 206.50s | Status: 얼굴 미검출
Time: 207.00s | Status: 얼굴 미검출
Time: 207.50s | Status: 얼굴 미검출
Time: 208.00s | Status: 얼굴 미검출
Time: 208.50s | Status: 얼굴 미검출
Time: 209.00s | Status: 얼굴 미검출
