[START] 'LUXON Table_0732.mp4' 분석을 시작합니다. (ID: LUXON_Table_0732_mp4_2025-06-30T00:57:20.186Z)
Time: 110.00s | Score: 78.05 | Status: 선명
Time: 110.50s | Score: 74.36 | Status: 선명
Time: 111.00s | Score: 143.54 | Status: 선명
Time: 111.50s | Score: 135.13 | Status: 선명
Time: 112.00s | Score: 131.45 | Status: 선명
Time: 112.50s | Score: 74.98 | Status: 선명
Time: 113.00s | Score: 93.20 | Status: 선명
Time: 113.50s | Score: 83.93 | Status: 선명
Time: 114.00s | Score: 89.86 | Status: 선명
Time: 114.50s | Score: 171.01 | Status: 선명
Time: 115.00s | Score: 126.03 | Status: 선명
Time: 115.50s | Score: 106.31 | Status: 선명
Time: 116.00s | Score: 98.56 | Status: 선명
Time: 116.50s | Score: 107.55 | Status: 선명
Time: 117.00s | Score: 38.88 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 117.50s | Score: 61.96 | Status: 선명
Time: 118.00s | Score: 83.10 | Status: 선명
Time: 118.50s | Score: 82.36 | Status: 선명
Time: 119.00s | Score: 75.23 | Status: 선명
Time: 119.50s | Score: 83.43 | Status: 선명
Time: 120.00s | Score: 189.12 | Status: 선명
Time: 120.50s | Score: 95.82 | Status: 선명
Time: 121.00s | Score: 76.67 | Status: 선명
Time: 121.50s | Score: 92.08 | Status: 선명
Time: 122.00s | Score: 166.76 | Status: 선명
Time: 122.50s | Score: 156.14 | Status: 선명
Time: 123.00s | Score: 205.46 | Status: 선명
Time: 123.50s | Score: 173.32 | Status: 선명
Time: 124.00s | Score: 175.22 | Status: 선명
Time: 124.50s | Score: 204.58 | Status: 선명
Time: 125.00s | Score: 185.83 | Status: 선명
Time: 125.50s | Score: 204.46 | Status: 선명
Time: 126.00s | Score: 213.51 | Status: 선명
Time: 126.50s | Score: 199.39 | Status: 선명
Time: 127.00s | Score: 190.98 | Status: 선명
Time: 127.50s | Score: 188.03 | Status: 선명
Time: 128.00s | Score: 180.18 | Status: 선명
Time: 128.50s | Score: 213.60 | Status: 선명
Time: 129.00s | Score: 224.76 | Status: 선명
Time: 129.50s | Score: 170.71 | Status: 선명
Time: 130.00s | Score: 188.85 | Status: 선명
Time: 130.50s | Score: 183.75 | Status: 선명
Time: 131.00s | Score: 279.04 | Status: 선명
Time: 131.50s | Status: 미검출
Time: 132.00s | Score: 152.37 | Status: 선명
Time: 132.50s | Score: 165.14 | Status: 선명
Time: 133.00s | Score: 193.03 | Status: 선명
Time: 133.50s | Score: 216.19 | Status: 선명
Time: 134.00s | Score: 249.79 | Status: 선명
Time: 134.50s | Score: 136.59 | Status: 선명
Time: 135.00s | Score: 216.82 | Status: 선명
Time: 135.50s | Score: 242.53 | Status: 선명
Time: 136.00s | Score: 225.47 | Status: 선명
Time: 136.50s | Score: 186.56 | Status: 선명
Time: 137.00s | Score: 145.84 | Status: 선명
Time: 137.50s | Score: 174.18 | Status: 선명
Time: 138.00s | Score: 171.98 | Status: 선명
Time: 138.50s | Score: 256.41 | Status: 선명
Time: 139.00s | Score: 247.87 | Status: 선명
Time: 139.50s | Score: 219.14 | Status: 선명
Time: 140.00s | Score: 234.57 | Status: 선명
Time: 140.50s | Score: 181.33 | Status: 선명
Time: 141.00s | Score: 175.56 | Status: 선명
Time: 141.50s | Score: 205.88 | Status: 선명
Time: 142.00s | Score: 216.14 | Status: 선명
Time: 142.50s | Score: 232.27 | Status: 선명
Time: 143.00s | Status: 미검출
Time: 143.50s | Status: 미검출
Time: 144.00s | Status: 미검출
Time: 144.50s | Status: 미검출
Time: 145.00s | Status: 미검출
Time: 145.50s | Status: 미검출
Time: 146.00s | Status: 미검출
Time: 146.50s | Status: 미검출
Time: 147.00s | Status: 미검출
Time: 147.50s | Status: 미검출
Time: 148.00s | Status: 미검출
Time: 148.50s | Status: 미검출
Time: 149.00s | Status: 미검출
Time: 149.50s | Status: 미검출
Time: 150.00s | Status: 미검출
Time: 150.50s | Status: 미검출
Time: 151.00s | Score: 101.84 | Status: 선명
Time: 151.50s | Score: 113.13 | Status: 선명
Time: 152.00s | Score: 114.95 | Status: 선명
Time: 152.50s | Score: 96.33 | Status: 선명
Time: 153.00s | Score: 86.13 | Status: 선명
Time: 153.50s | Score: 96.74 | Status: 선명
Time: 154.00s | Score: 89.66 | Status: 선명
Time: 154.50s | Score: 86.40 | Status: 선명
Time: 155.00s | Score: 91.89 | Status: 선명
Time: 155.50s | Score: 86.95 | Status: 선명
Time: 156.00s | Score: 90.31 | Status: 선명
Time: 156.50s | Score: 94.82 | Status: 선명
Time: 157.00s | Score: 101.23 | Status: 선명
Time: 157.50s | Score: 114.53 | Status: 선명
Time: 158.00s | Score: 103.21 | Status: 선명
Time: 158.50s | Score: 301.59 | Status: 선명
Time: 159.00s | Score: 297.54 | Status: 선명
Time: 159.50s | Score: 276.36 | Status: 선명
Time: 160.00s | Score: 212.75 | Status: 선명
Time: 160.50s | Score: 127.28 | Status: 선명
Time: 161.00s | Score: 84.67 | Status: 선명
Time: 161.50s | Score: 91.09 | Status: 선명
Time: 162.00s | Score: 98.38 | Status: 선명
Time: 162.50s | Score: 90.06 | Status: 선명
Time: 163.00s | Score: 86.02 | Status: 선명
Time: 163.50s | Score: 87.01 | Status: 선명
Time: 164.00s | Score: 82.15 | Status: 선명
Time: 164.50s | Score: 87.16 | Status: 선명
Time: 165.00s | Score: 94.33 | Status: 선명
Time: 165.50s | Score: 80.64 | Status: 선명
Time: 166.00s | Score: 75.80 | Status: 선명
Time: 166.50s | Score: 76.95 | Status: 선명
Time: 167.00s | Score: 67.80 | Status: 선명
Time: 167.50s | Score: 67.73 | Status: 선명
Time: 168.00s | Score: 61.11 | Status: 선명
Time: 168.50s | Score: 69.19 | Status: 선명
Time: 169.00s | Score: 71.89 | Status: 선명
Time: 169.50s | Score: 69.41 | Status: 선명
Time: 170.00s | Score: 69.28 | Status: 선명
Time: 170.50s | Score: 74.81 | Status: 선명
Time: 171.00s | Score: 70.04 | Status: 선명
Time: 171.50s | Status: 미검출
Time: 172.00s | Score: 54.03 | Status: 선명
Time: 172.50s | Score: 31.80 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 173.00s | Score: 55.62 | Status: 선명
Time: 173.50s | Score: 54.35 | Status: 선명
Time: 174.00s | Score: 56.78 | Status: 선명
Time: 174.50s | Score: 54.70 | Status: 선명
Time: 175.00s | Score: 73.49 | Status: 선명
Time: 175.50s | Score: 73.74 | Status: 선명
Time: 176.00s | Score: 74.94 | Status: 선명
Time: 176.50s | Score: 278.42 | Status: 선명
Time: 177.00s | Score: 289.36 | Status: 선명
Time: 177.50s | Score: 254.94 | Status: 선명
Time: 178.00s | Score: 248.33 | Status: 선명
Time: 178.50s | Score: 246.75 | Status: 선명
Time: 179.00s | Score: 261.89 | Status: 선명
Time: 179.50s | Score: 236.34 | Status: 선명
Time: 180.00s | Score: 233.18 | Status: 선명
Time: 180.50s | Score: 227.93 | Status: 선명
Time: 181.00s | Score: 233.76 | Status: 선명
Time: 181.50s | Score: 304.63 | Status: 선명
Time: 182.00s | Score: 275.36 | Status: 선명
Time: 182.50s | Score: 274.86 | Status: 선명
Time: 183.00s | Score: 267.88 | Status: 선명
Time: 183.50s | Score: 264.98 | Status: 선명
Time: 184.00s | Score: 249.34 | Status: 선명
Time: 184.50s | Score: 259.68 | Status: 선명
Time: 185.00s | Score: 212.36 | Status: 선명
Time: 185.50s | Status: 미검출
Time: 186.00s | Status: 미검출
Time: 186.50s | Score: 110.74 | Status: 선명
Time: 187.00s | Score: 143.30 | Status: 선명
Time: 187.50s | Score: 239.36 | Status: 선명
Time: 188.00s | Score: 206.50 | Status: 선명
Time: 188.50s | Status: 미검출
Time: 189.00s | Score: 172.23 | Status: 선명
Time: 189.50s | Score: 193.03 | Status: 선명
Time: 190.00s | Score: 187.46 | Status: 선명
Time: 190.50s | Score: 208.53 | Status: 선명
Time: 191.00s | Score: 197.85 | Status: 선명
Time: 191.50s | Status: 미검출
Time: 192.00s | Status: 미검출
Time: 192.50s | Status: 미검출
Time: 193.00s | Status: 미검출
Time: 193.50s | Status: 미검출
Time: 194.00s | Status: 미검출
Time: 194.50s | Status: 미검출
Time: 195.00s | Status: 미검출
Time: 195.50s | Status: 미검출
Time: 196.00s | Score: 115.15 | Status: 선명
Time: 196.50s | Score: 113.29 | Status: 선명
Time: 197.00s | Score: 109.27 | Status: 선명
Time: 197.50s | Score: 103.19 | Status: 선명
Time: 198.00s | Score: 114.46 | Status: 선명
Time: 198.50s | Score: 115.99 | Status: 선명
Time: 199.00s | Score: 112.77 | Status: 선명
Time: 199.50s | Score: 98.49 | Status: 선명
Time: 200.00s | Score: 104.43 | Status: 선명
Time: 200.50s | Score: 118.68 | Status: 선명
Time: 201.00s | Score: 114.39 | Status: 선명
Time: 201.50s | Score: 103.13 | Status: 선명
Time: 202.00s | Score: 102.04 | Status: 선명
Time: 202.50s | Score: 108.53 | Status: 선명
Time: 203.00s | Score: 106.36 | Status: 선명
Time: 203.50s | Score: 109.27 | Status: 선명
Time: 204.00s | Score: 100.86 | Status: 선명
Time: 204.50s | Score: 106.12 | Status: 선명
Time: 205.00s | Score: 41.00 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 205.50s | Score: 107.00 | Status: 선명
Time: 206.00s | Score: 108.07 | Status: 선명
Time: 206.50s | Score: 111.31 | Status: 선명
Time: 207.00s | Score: 173.57 | Status: 선명
Time: 207.50s | Score: 108.53 | Status: 선명
Time: 208.00s | Score: 108.86 | Status: 선명
Time: 208.50s | Score: 94.24 | Status: 선명
Time: 209.00s | Score: 100.08 | Status: 선명
Time: 209.50s | Score: 96.23 | Status: 선명
Time: 210.00s | Score: 103.73 | Status: 선명
Time: 210.50s | Score: 104.79 | Status: 선명
