[START] 'DTD LIVE Table_0924.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0924_mp4_2025-06-27T05:14:10.539Z)
Time: 92.50s | Score: 94.33 | Status: 선명
Time: 93.00s | Score: 93.89 | Status: 선명
Time: 93.50s | Score: 94.80 | Status: 선명
Time: 94.00s | Score: 105.23 | Status: 선명
Time: 94.50s | Score: 96.16 | Status: 선명
Time: 95.00s | Score: 123.54 | Status: 선명
Time: 95.50s | Score: 134.02 | Status: 선명
Time: 96.00s | Score: 127.72 | Status: 선명
Time: 96.50s | Score: 128.51 | Status: 선명
Time: 97.00s | Score: 129.77 | Status: 선명
Time: 97.50s | Score: 126.90 | Status: 선명
Time: 98.00s | Score: 129.63 | Status: 선명
Time: 98.50s | Score: 136.55 | Status: 선명
Time: 99.00s | Score: 139.34 | Status: 선명
Time: 99.50s | Score: 138.49 | Status: 선명
Time: 100.00s | Score: 142.16 | Status: 선명
Time: 100.50s | Score: 139.52 | Status: 선명
Time: 101.00s | Score: 136.39 | Status: 선명
Time: 101.50s | Score: 143.21 | Status: 선명
Time: 102.00s | Score: 137.10 | Status: 선명
Time: 102.50s | Score: 127.31 | Status: 선명
Time: 103.00s | Score: 136.76 | Status: 선명
Time: 103.50s | Score: 135.70 | Status: 선명
Time: 104.00s | Score: 125.06 | Status: 선명
Time: 104.50s | Score: 120.79 | Status: 선명
Time: 105.00s | Score: 106.16 | Status: 선명
Time: 105.50s | Score: 116.94 | Status: 선명
Time: 106.00s | Score: 118.60 | Status: 선명
Time: 106.50s | Score: 119.89 | Status: 선명
Time: 107.00s | Score: 103.29 | Status: 선명
Time: 107.50s | Score: 120.03 | Status: 선명
Time: 108.00s | Score: 148.78 | Status: 선명
Time: 108.50s | Score: 172.85 | Status: 선명
Time: 109.00s | Score: 156.16 | Status: 선명
Time: 109.50s | Score: 474.11 | Status: 선명
Time: 110.00s | Score: 818.08 | Status: 선명
Time: 110.50s | Score: 1343.99 | Status: 선명
Time: 111.00s | Score: 1147.38 | Status: 선명
Time: 111.50s | Score: 1153.89 | Status: 선명
Time: 112.00s | Score: 1087.55 | Status: 선명
Time: 112.50s | Score: 995.63 | Status: 선명
Time: 113.00s | Status: 얼굴 미검출
Time: 113.50s | Score: 830.80 | Status: 선명
Time: 114.00s | Score: 709.08 | Status: 선명
Time: 114.50s | Score: 710.67 | Status: 선명
Time: 115.00s | Score: 801.60 | Status: 선명
Time: 115.50s | Status: 얼굴 미검출
Time: 116.00s | Score: 291.70 | Status: 선명
Time: 116.50s | Score: 502.61 | Status: 선명
Time: 117.00s | Score: 459.65 | Status: 선명
Time: 117.50s | Score: 487.11 | Status: 선명
Time: 118.00s | Score: 533.93 | Status: 선명
Time: 118.50s | Score: 565.38 | Status: 선명
Time: 119.00s | Status: 얼굴 미검출
Time: 119.50s | Score: 859.67 | Status: 선명
Time: 120.00s | Score: 1065.44 | Status: 선명
Time: 120.50s | Score: 751.05 | Status: 선명
Time: 121.00s | Status: 얼굴 미검출
Time: 121.50s | Status: 얼굴 미검출
Time: 122.00s | Status: 얼굴 미검출
Time: 122.50s | Status: 얼굴 미검출
Time: 123.00s | Status: 얼굴 미검출
Time: 123.50s | Status: 얼굴 미검출
Time: 124.00s | Status: 얼굴 미검출
Time: 124.50s | Status: 얼굴 미검출
Time: 125.00s | Status: 얼굴 미검출
Time: 125.50s | Status: 얼굴 미검출
Time: 126.00s | Status: 얼굴 미검출
Time: 126.50s | Status: 얼굴 미검출
Time: 127.00s | Status: 얼굴 미검출
Time: 127.50s | Status: 얼굴 미검출
Time: 128.00s | Status: 얼굴 미검출
Time: 128.50s | Status: 얼굴 미검출
Time: 129.00s | Status: 얼굴 미검출
Time: 129.50s | Status: 얼굴 미검출
