[START] 'LUXON Table_0726.mp4' 분석을 시작합니다. (ID: LUXON_Table_0726_mp4_2025-06-27T09:23:46.556Z)
Time: 158.00s | Status: 미검출
Time: 158.50s | Status: 미검출
Time: 159.00s | Status: 미검출
Time: 159.50s | Status: 미검출
Time: 160.00s | Score: 63.68 | Status: 선명
Time: 160.50s | Score: 64.81 | Status: 선명
Time: 161.00s | Score: 64.87 | Status: 선명
Time: 161.50s | Score: 69.66 | Status: 선명
Time: 162.00s | Score: 69.60 | Status: 선명
Time: 162.50s | Score: 64.04 | Status: 선명
Time: 163.00s | Score: 58.95 | Status: 선명
Time: 163.50s | Score: 85.93 | Status: 선명
Time: 164.00s | Score: 86.72 | Status: 선명
Time: 164.50s | Status: 미검출
Time: 165.00s | Status: 미검출
Time: 165.50s | Status: 미검출
Time: 166.00s | Status: 미검출
Time: 166.50s | Status: 미검출
Time: 167.00s | Status: 미검출
Time: 167.50s | Status: 미검출
Time: 168.00s | Status: 미검출
Time: 168.50s | Score: 68.35 | Status: 선명
Time: 169.00s | Score: 73.56 | Status: 선명
Time: 169.50s | Score: 73.54 | Status: 선명
Time: 170.00s | Score: 62.45 | Status: 선명
Time: 170.50s | Score: 69.38 | Status: 선명
Time: 171.00s | Score: 70.07 | Status: 선명
Time: 171.50s | Score: 80.62 | Status: 선명
Time: 172.00s | Score: 72.68 | Status: 선명
Time: 172.50s | Score: 73.64 | Status: 선명
Time: 173.00s | Score: 73.98 | Status: 선명
Time: 173.50s | Score: 65.11 | Status: 선명
Time: 174.00s | Score: 65.53 | Status: 선명
Time: 174.50s | Score: 72.14 | Status: 선명
Time: 175.00s | Score: 78.03 | Status: 선명
Time: 175.50s | Score: 73.12 | Status: 선명
Time: 176.00s | Score: 83.93 | Status: 선명
Time: 176.50s | Status: 미검출
Time: 177.00s | Score: 93.12 | Status: 선명
Time: 177.50s | Score: 118.36 | Status: 선명
Time: 178.00s | Score: 62.93 | Status: 선명
Time: 178.50s | Score: 63.13 | Status: 선명
Time: 179.00s | Status: 미검출
Time: 179.50s | Score: 135.48 | Status: 선명
Time: 180.00s | Score: 176.27 | Status: 선명
Time: 180.50s | Score: 64.89 | Status: 선명
Time: 181.00s | Score: 68.20 | Status: 선명
Time: 181.50s | Score: 165.04 | Status: 선명
Time: 182.00s | Score: 50.09 | Status: 선명
Time: 182.50s | Score: 41.94 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 183.00s | Score: 59.01 | Status: 선명
Time: 183.50s | Score: 64.17 | Status: 선명
Time: 184.00s | Score: 77.32 | Status: 선명
Time: 184.50s | Score: 75.11 | Status: 선명
Time: 185.00s | Score: 73.64 | Status: 선명
Time: 185.50s | Score: 97.58 | Status: 선명
Time: 186.00s | Score: 74.85 | Status: 선명
Time: 186.50s | Score: 71.73 | Status: 선명
Time: 187.00s | Score: 70.97 | Status: 선명
Time: 187.50s | Score: 77.62 | Status: 선명
Time: 188.00s | Score: 75.65 | Status: 선명
Time: 188.50s | Score: 267.86 | Status: 선명
Time: 189.00s | Score: 296.49 | Status: 선명
Time: 189.50s | Score: 90.65 | Status: 선명
Time: 190.00s | Score: 132.95 | Status: 선명
Time: 190.50s | Score: 87.72 | Status: 선명
Time: 191.00s | Score: 121.75 | Status: 선명
Time: 191.50s | Score: 140.06 | Status: 선명
Time: 192.00s | Score: 146.45 | Status: 선명
Time: 192.50s | Score: 130.15 | Status: 선명
Time: 193.00s | Score: 110.95 | Status: 선명
Time: 193.50s | Score: 129.07 | Status: 선명
Time: 194.00s | Score: 129.18 | Status: 선명
Time: 194.50s | Score: 154.14 | Status: 선명
Time: 195.00s | Score: 125.32 | Status: 선명
Time: 195.50s | Score: 136.12 | Status: 선명
Time: 196.00s | Score: 127.76 | Status: 선명
Time: 196.50s | Score: 119.85 | Status: 선명
Time: 197.00s | Score: 100.21 | Status: 선명
Time: 197.50s | Score: 104.22 | Status: 선명
Time: 198.00s | Score: 95.18 | Status: 선명
Time: 198.50s | Score: 152.74 | Status: 선명
Time: 199.00s | Status: 미검출
Time: 199.50s | Status: 미검출
Time: 200.00s | Score: 127.04 | Status: 선명
Time: 200.50s | Score: 139.25 | Status: 선명
Time: 201.00s | Score: 131.74 | Status: 선명
Time: 201.50s | Score: 180.80 | Status: 선명
Time: 202.00s | Score: 127.87 | Status: 선명
Time: 202.50s | Score: 174.12 | Status: 선명
Time: 203.00s | Score: 168.86 | Status: 선명
Time: 203.50s | Score: 192.20 | Status: 선명
Time: 204.00s | Score: 186.17 | Status: 선명
Time: 204.50s | Score: 190.87 | Status: 선명
Time: 205.00s | Score: 207.22 | Status: 선명
Time: 205.50s | Score: 193.18 | Status: 선명
Time: 206.00s | Status: 미검출
Time: 206.50s | Score: 212.36 | Status: 선명
Time: 207.00s | Score: 82.52 | Status: 선명
Time: 207.50s | Score: 89.77 | Status: 선명
Time: 208.00s | Score: 203.18 | Status: 선명
Time: 208.50s | Score: 215.79 | Status: 선명
Time: 209.00s | Score: 263.47 | Status: 선명
Time: 209.50s | Score: 210.20 | Status: 선명
Time: 210.00s | Score: 186.78 | Status: 선명
Time: 210.50s | Score: 153.83 | Status: 선명
Time: 211.00s | Score: 136.23 | Status: 선명
Time: 211.50s | Score: 142.53 | Status: 선명
Time: 212.00s | Score: 126.28 | Status: 선명
Time: 212.50s | Score: 123.29 | Status: 선명
Time: 213.00s | Score: 142.36 | Status: 선명
Time: 213.50s | Score: 149.92 | Status: 선명
Time: 214.00s | Status: 미검출
Time: 214.50s | Status: 미검출
Time: 215.00s | Status: 미검출
Time: 215.50s | Status: 미검출
Time: 216.00s | Score: 93.73 | Status: 선명
Time: 216.50s | Score: 89.03 | Status: 선명
Time: 217.00s | Score: 91.76 | Status: 선명
Time: 217.50s | Score: 89.69 | Status: 선명
Time: 218.00s | Score: 90.66 | Status: 선명
Time: 218.50s | Score: 82.93 | Status: 선명
Time: 219.00s | Score: 85.55 | Status: 선명
Time: 219.50s | Score: 96.44 | Status: 선명
Time: 220.00s | Score: 96.04 | Status: 선명
Time: 220.50s | Score: 93.14 | Status: 선명
Time: 221.00s | Score: 98.73 | Status: 선명
Time: 221.50s | Score: 100.44 | Status: 선명
Time: 222.00s | Score: 102.95 | Status: 선명
Time: 222.50s | Score: 102.85 | Status: 선명
Time: 223.00s | Score: 105.44 | Status: 선명
Time: 223.50s | Score: 106.18 | Status: 선명
Time: 224.00s | Score: 101.69 | Status: 선명
Time: 224.50s | Score: 103.46 | Status: 선명
Time: 225.00s | Score: 102.51 | Status: 선명
Time: 225.50s | Score: 93.01 | Status: 선명
Time: 226.00s | Score: 92.97 | Status: 선명
Time: 226.50s | Score: 86.87 | Status: 선명
Time: 227.00s | Score: 90.06 | Status: 선명
Time: 227.50s | Status: 미검출
Time: 228.00s | Score: 63.75 | Status: 선명
Time: 228.50s | Score: 237.19 | Status: 선명
Time: 229.00s | Score: 255.52 | Status: 선명
Time: 229.50s | Score: 111.03 | Status: 선명
Time: 230.00s | Score: 178.70 | Status: 선명
Time: 230.50s | Score: 211.45 | Status: 선명
Time: 231.00s | Score: 220.22 | Status: 선명
Time: 231.50s | Score: 262.34 | Status: 선명
Time: 232.00s | Score: 263.47 | Status: 선명
Time: 232.50s | Status: 미검출
Time: 233.00s | Status: 미검출
Time: 233.50s | Status: 미검출
Time: 234.00s | Status: 미검출
Time: 234.50s | Score: 115.70 | Status: 선명
Time: 235.00s | Score: 149.56 | Status: 선명
Time: 235.50s | Score: 136.62 | Status: 선명
Time: 236.00s | Score: 151.82 | Status: 선명
Time: 236.50s | Score: 147.19 | Status: 선명
Time: 237.00s | Score: 158.96 | Status: 선명
Time: 237.50s | Score: 150.82 | Status: 선명
Time: 238.00s | Score: 178.44 | Status: 선명
Time: 238.50s | Score: 176.88 | Status: 선명
Time: 239.00s | Score: 166.44 | Status: 선명
Time: 239.50s | Score: 102.63 | Status: 선명
Time: 240.00s | Score: 167.17 | Status: 선명
Time: 240.50s | Score: 100.60 | Status: 선명
Time: 241.00s | Score: 161.68 | Status: 선명
Time: 241.50s | Score: 105.09 | Status: 선명
Time: 242.00s | Score: 107.23 | Status: 선명
Time: 242.50s | Score: 86.56 | Status: 선명
Time: 243.00s | Score: 161.66 | Status: 선명
Time: 243.50s | Score: 154.10 | Status: 선명
Time: 244.00s | Score: 156.99 | Status: 선명
Time: 244.50s | Score: 147.35 | Status: 선명
Time: 245.00s | Score: 145.63 | Status: 선명
Time: 245.50s | Score: 149.33 | Status: 선명
Time: 246.00s | Score: 173.59 | Status: 선명
Time: 246.50s | Score: 177.48 | Status: 선명
Time: 247.00s | Score: 137.52 | Status: 선명
Time: 247.50s | Score: 171.14 | Status: 선명
